obs,M1
1959M01,138.89
1959M02,139.39
1959M03,139.74
1959M04,139.69
1959M05,140.68
1959M06,141.17
1959M07,141.7
1959M08,141.9
1959M09,141.01
1959M10,140.47
1959M11,140.38
1959M12,139.95
1960M01,139.98
1960M02,139.87
1960M03,139.75
1960M04,139.56
1960M05,139.61
1960M06,139.58
1960M07,140.18
1960M08,141.31
1960M09,141.18
1960M10,140.92
1960M11,140.86
1960M12,140.69
1961M01,141.06
1961M02,141.6
1961M03,141.87
1961M04,142.13
1961M05,142.66
1961M06,142.88
1961M07,142.92
1961M08,143.49
1961M09,143.78
1961M10,144.14
1961M11,144.76
1961M12,145.2
1962M01,145.24
1962M02,145.66
1962M03,145.96
1962M04,146.4
1962M05,146.84
1962M06,146.58
1962M07,146.46
1962M08,146.57
1962M09,146.3
1962M10,146.71
1962M11,147.29
1962M12,147.82
1963M01,148.26
1963M02,148.9
1963M03,149.17
1963M04,149.7
1963M05,150.39
1963M06,150.43
1963M07,151.34
1963M08,151.78
1963M09,151.98
1963M10,152.55
1963M11,153.65
1963M12,153.29
1964M01,153.74
1964M02,154.31
1964M03,154.48
1964M04,154.77
1964M05,155.33
1964M06,155.62
1964M07,156.8
1964M08,157.82
1964M09,158.75
1964M10,159.24
1964M11,159.96
1964M12,160.3
1965M01,160.71
1965M02,160.94
1965M03,161.47
1965M04,162.03
1965M05,161.7
1965M06,162.19
1965M07,163.05
1965M08,163.68
1965M09,164.85
1965M10,165.97
1965M11,166.71
1965M12,167.85
1966M01,169.08
1966M02,169.62
1966M03,170.51
1966M04,171.81
1966M05,171.33
1966M06,171.57
1966M07,170.31
1966M08,170.81
1966M09,171.97
1966M10,171.16
1966M11,171.38
1966M12,172.03
1967M01,171.86
1967M02,172.99
1967M03,174.81
1967M04,174.17
1967M05,175.68
1967M06,177.02
1967M07,178.13
1967M08,179.71
1967M09,180.68
1967M10,181.64
1967M11,182.38
1967M12,183.26
1968M01,184.33
1968M02,184.71
1968M03,185.47
1968M04,186.6
1968M05,187.99
1968M06,189.42
1968M07,190.49
1968M08,191.84
1968M09,192.74
1968M10,194.02
1968M11,196.02
1968M12,197.41
1969M01,198.69
1969M02,199.35
1969M03,200.02
1969M04,200.71
1969M05,200.81
1969M06,201.27
1969M07,201.66
1969M08,201.73
1969M09,202.1
1969M10,202.9
1969M11,203.57
1969M12,203.88
1970M01,206.22
1970M02,205
1970M03,205.75
1970M04,206.72
1970M05,207.22
1970M06,207.54
1970M07,207.98
1970M08,209.93
1970M09,211.8
1970M10,212.88
1970M11,213.66
1970M12,214.41
1971M01,215.54
1971M02,217.42
1971M03,218.77
1971M04,220
1971M05,222.02
1971M06,223.45
1971M07,224.85
1971M08,225.58
1971M09,226.47
1971M10,227.16
1971M11,227.76
1971M12,228.32
1972M01,230.09
1972M02,232.32
1972M03,234.3
1972M04,235.58
1972M05,235.89
1972M06,236.62
1972M07,238.79
1972M08,240.93
1972M09,243.18
1972M10,245.02
1972M11,246.41
1972M12,249.25
1973M01,251.47
1973M02,252.15
1973M03,251.67
1973M04,252.74
1973M05,254.89
1973M06,256.69
1973M07,257.54
1973M08,257.76
1973M09,257.86
1973M10,259.04
1973M11,260.98
1973M12,262.88
1974M01,263.76
1974M02,265.31
1974M03,266.68
1974M04,267.2
1974M05,267.56
1974M06,268.44
1974M07,269.27
1974M08,270.12
1974M09,271.05
1974M10,272.35
1974M11,273.71
1974M12,274.2
1975M01,273.9
1975M02,275
1975M03,276.42
1975M04,276.17
1975M05,279.2
1975M06,282.43
1975M07,283.68
1975M08,284.15
1975M09,285.69
1975M10,285.39
1975M11,286.83
1975M12,287.07
1976M01,288.42
1976M02,290.76
1976M03,292.7
1976M04,294.66
1976M05,295.93
1976M06,296.16
1976M07,297.2
1976M08,299.05
1976M09,299.67
1976M10,302.04
1976M11,303.59
1976M12,306.25
1977M01,308.26
1977M02,311.54
1977M03,313.94
1977M04,316.02
1977M05,317.19
1977M06,318.71
1977M07,320.19
1977M08,322.27
1977M09,324.48
1977M10,326.4
1977M11,328.64
1977M12,330.87
1978M01,334.4
1978M02,335.3
1978M03,336.96
1978M04,339.92
1978M05,344.86
1978M06,346.8
1978M07,347.63
1978M08,349.66
1978M09,352.26
1978M10,353.35
1978M11,355.41
1978M12,357.28
1979M01,358.6
1979M02,359.91
1979M03,362.45
1979M04,368.05
1979M05,369.59
1979M06,373.34
1979M07,377.21
1979M08,378.82
1979M09,379.28
1979M10,380.87
1979M11,380.81
1979M12,381.77
1980M01,385.85
1980M02,389.7
1980M03,388.13
1980M04,383.44
1980M05,384.6
1980M06,389.46
1980M07,394.91
1980M08,400.06
1980M09,405.36
1980M10,409.06
1980M11,410.37
1980M12,408.06
1981M01,410.83
1981M02,414.38
1981M03,418.69
1981M04,427.06
1981M05,424.43
1981M06,425.5
1981M07,427.9
1981M08,427.85
1981M09,427.46
1981M10,428.45
1981M11,430.88
1981M12,436.17
1982M01,442.13
1982M02,441.49
1982M03,442.37
1982M04,446.78
1982M05,446.53
1982M06,447.89
1982M07,449.09
1982M08,452.49
1982M09,457.5
1982M10,464.57
1982M11,471.12
1982M12,474.3
1983M01,476.68
1983M02,483.85
1983M03,490.18
1983M04,492.77
1983M05,499.78
1983M06,504.35
1983M07,508.96
1983M08,511.6
1983M09,513.41
1983M10,517.21
1983M11,518.53
1983M12,520.79
1984M01,524.4
1984M02,526.99
1984M03,530.78
1984M04,534.03
1984M05,536.59
1984M06,540.54
1984M07,542.13
1984M08,542.39
1984M09,543.86
1984M10,543.87
1984M11,547.32
1984M12,551.19
1985M01,555.66
1985M02,562.48
1985M03,565.74
1985M04,569.55
1985M05,575.07
1985M06,583.17
1985M07,590.82
1985M08,598.06
1985M09,604.47
1985M10,607.91
1985M11,611.83
1985M12,619.36
1986M01,620.4
1986M02,624.14
1986M03,632.81
1986M04,640.35
1986M05,652.01
1986M06,661.52
1986M07,672.2
1986M08,680.77
1986M09,688.51
1986M10,695.26
1986M11,705.24
1986M12,724.28
1987M01,729.34
1987M02,729.84
1987M03,733.01
1987M04,743.39
1987M05,746
1987M06,743.72
1987M07,744.96
1987M08,746.96
1987M09,748.66
1987M10,756.5
1987M11,752.83
1987M12,749.68
1988M01,755.55
1988M02,757.07
1988M03,761.18
1988M04,767.57
1988M05,771.68
1988M06,779.1
1988M07,783.4
1988M08,785.08
1988M09,784.82
1988M10,783.63
1988M11,784.46
1988M12,786.26
1989M01,784.92
1989M02,783.4
1989M03,782.74
1989M04,778.82
1989M05,774.79
1989M06,774.22
1989M07,779.71
1989M08,781.14
1989M09,782.2
1989M10,787.05
1989M11,787.95
1989M12,792.57
1990M01,794.93
1990M02,797.65
1990M03,801.25
1990M04,806.24
1990M05,804.36
1990M06,810.33
1990M07,811.8
1990M08,817.85
1990M09,821.83
1990M10,820.3
1990M11,822.06
1990M12,824.56
1991M01,826.73
1991M02,832.4
1991M03,838.62
1991M04,842.73
1991M05,848.96
1991M06,858.33
1991M07,862.95
1991M08,868.65
1991M09,871.56
1991M10,878.4
1991M11,887.95
1991M12,896.7
1992M01,910.49
1992M02,925.13
1992M03,936
1992M04,943.89
1992M05,950.78
1992M06,954.71
1992M07,964.6
1992M08,975.71
1992M09,988.84
1992M10,1004.34
1992M11,1016.04
1992M12,1024.45
1993M01,1030.9
1993M02,1033.15
1993M03,1037.99
1993M04,1047.47
1993M05,1066.22
1993M06,1075.61
1993M07,1085.88
1993M08,1095.56
1993M09,1105.43
1993M10,1113.8
1993M11,1123.9
1993M12,1129.31
1994M01,1132.2
1994M02,1136.13
1994M03,1139.91
1994M04,1141.42
1994M05,1142.85
1994M06,1145.65
1994M07,1151.49
1994M08,1151.39
1994M09,1152.44
1994M10,1150.41
1994M11,1150.44
1994M12,1149.75
1995M01,1150.64
1995M02,1146.74
1995M03,1146.52
1995M04,1149.48
1995M05,1144.65
1995M06,1144.24
1995M07,1146.5
1995M08,1146.1
1995M09,1142.27
1995M10,1136.43
1995M11,1133.55
1995M12,1126.73
1996M01,1122.58
1996M02,1117.53
1996M03,1122.59
1996M04,1124.52
1996M05,1116.3
1996M06,1115.47
1996M07,1112.34
1996M08,1102.18
1996M09,1095.61
1996M10,1082.56
1996M11,1080.49
1996M12,1081.34
1997M01,1080.52
1997M02,1076.2
1997M03,1072.42
1997M04,1067.45
1997M05,1063.37
1997M06,1065.99
1997M07,1067.57
1997M08,1072.08
1997M09,1064.82
1997M10,1062.06
1997M11,1067.53
1997M12,1074.87
1998M01,1073.81
1998M02,1076.02
1998M03,1080.65
1998M04,1082.09
1998M05,1078.17
1998M06,1077.78
1998M07,1075.37
1998M08,1072.21
1998M09,1074.65
1998M10,1080.4
1998M11,1088.96
1998M12,1093.35
1999M01,1091
1999M02,1092.65
1999M03,1102.01
1999M04,1108.4
1999M05,1104.75
1999M06,1101.11
1999M07,1099.53
1999M08,1102.4
1999M09,1093.46
