obs,sp500,divyld,i3,ip,pcsp,rsp500,pcip,ci3,ci3_1,ci3_2,pcip_1,pcip_2,pcip_3,pcsp_1,pcsp_2,pcsp_3
1947M01,15.21,4.49,0.38,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947M02,15.8,4.38,0.38,22.5,46.54833,50.92833,5.357163,0,NA,NA,NA,NA,NA,NA,NA,NA
1947M03,15.16,4.61,0.38,22.6,-48.60762,-43.99762,5.333354,0,0,NA,5.357163,NA,NA,46.54833,NA,NA
1947M04,14.6,4.75,0.38,22.5,-44.32714,-39.57714,-5.309754,0,0,0,5.333354,5.357163,NA,-48.60762,46.54833,NA
1947M05,14.34,5.05,0.38,22.6,-21.36988,-16.31988,5.333354,0,0,0,-5.309754,5.333354,5.357163,-44.32714,-48.60762,46.54833
1947M06,14.84,5.03,0.38,22.6,41.841,46.871,0,0,0,0,5.333354,-5.309754,5.333354,-21.36988,-44.32714,-48.60762
1947M07,15.77,4.81,0.64,22.4,75.20218,80.01218,-10.61951,0.26,0,0,0,5.333354,-5.309754,41.841,-21.36988,-44.32714
1947M08,15.46,4.97,0.74,22.6,-23.58912,-18.61913,10.71433,0.1,0.26,0,-10.61951,0,5.333354,75.20218,41.841,-21.36988
1947M09,15.06,5.16,0.79,22.7,-31.04784,-25.88784,5.309754,0.05,0.1,0.26,10.71433,-10.61951,0,-23.58912,75.20218,41.841
1947M10,15.45,5.1,0.84,22.9,31.07565,36.17565,10.57263,0.05,0.05,0.1,5.309754,10.71433,-10.61951,-31.04784,-23.58912,75.20218
1947M11,15.27,5.24,0.92,23.3,-13.98053,-8.740532,20.96068,0.08,0.05,0.05,10.57263,5.309754,10.71433,31.07565,-31.04784,-23.58912
1947M12,15.03,5.55,0.95,23.3,-18.86057,-13.31057,0,0.03,0.08,0.05,20.96068,10.57263,5.309754,-13.98053,31.07565,-31.04784
1948M01,14.83,5.71,0.97,23.5,-15.96805,-10.25805,10.30047,0.02,0.03,0.08,0,20.96068,10.57263,-18.86057,-13.98053,31.07565
1948M02,14.1,6.01,0.99,23.5,-59.06942,-53.05942,0,0.02,0.02,0.03,10.30047,0,20.96068,-15.96805,-18.86057,-13.98053
1948M03,14.3,5.9,1,23.3,17.02126,22.92126,-10.2128,0.01,0.02,0.02,0,10.30047,0,-59.06942,-15.96805,-18.86057
1948M04,15.4,5.5,1,23.3,92.30765,97.80765,0,0,0.01,0.02,-10.2128,0,10.30047,17.02126,-59.06942,-15.96805
1948M05,16.15,5.32,1,23.7,58.44156,63.76156,20.60094,0,0,0.01,0,-10.2128,0,92.30765,17.02126,-59.06942
1948M06,16.82,5.02,1,24,49.78329,54.80329,15.18983,0,0,0,20.60094,0,-10.2128,58.44156,92.30765,17.02126
1948M07,16.42,4.96,1,24,-28.53743,-23.57743,0,0,0,0,15.18983,20.60094,0,49.78329,58.44156,92.30765
1948M08,15.94,5.17,1.03,23.9,-35.07921,-29.90921,-5.000019,0.03,0,0,0,15.18983,20.60094,-28.53743,49.78329,58.44156
1948M09,15.76,5.29,1.09,23.7,-13.55077,-8.260768,-10.04178,0.06,0.03,0,-5.000019,0,15.18983,-35.07921,-28.53743,49.78329
1948M10,16.19,5.29,1.12,23.9,32.74114,38.03114,10.12652,0.03,0.06,0.03,-10.04178,-5.000019,0,-13.55077,-35.07921,-28.53743
1948M11,15.29,6.09,1.14,23.6,-66.70789,-60.61789,-15.06272,0.02,0.03,0.06,10.12652,-10.04178,-5.000019,32.74114,-13.55077,-35.07921
